id,longitude,latitude
0,127.811705,34.446867
1,127.807169,34.424261
2,127.794894,34.419297
3,127.787173,34.417033
4,127.806893,34.433418
5,127.805226,34.436354
6,127.782057,34.488457
7,127.787621,34.490192
8,127.787501,34.490568
9,127.801965,34.482269
10,127.798732,34.490208
11,127.819119,34.478186
12,127.80893,34.483285
13,129.187577,35.163594
14,129.176707,35.165069
15,129.170304,35.161007
16,129.164077,35.164073
17,129.154542,35.161628
18,129.127256,35.161866
19,129.10836,35.147822
20,129.117355,35.154029
21,129.114423,35.165893
22,129.104779,35.160006
23,129.099214,35.167957
24,129.10148,35.15439
25,129.107186,35.154742
26,129.098748,35.150089
27,129.112428,35.131714
28,129.10399,35.110725
29,129.112875,35.117737
30,129.118109,35.121443
31,129.116673,35.102131
32,129.097095,35.10296
33,129.097792,35.101929
34,129.096985,35.095591
35,129.094265,35.05879
36,129.012397,35.057743
37,129.008818,35.075008
38,129.006413,35.081392
39,129.042836,35.08343
40,129.048955,35.077464
41,129.059134,35.081699
42,129.062524,35.0813
43,129.064358,35.077904
44,129.061622,35.078336
45,129.058751,35.07247
46,129.066793,35.071704
47,129.07985,35.056632
48,129.088884,35.052597
49,129.084746,35.066776
50,129.075382,35.070195
51,129.074116,35.071962
52,129.078547,35.071233
53,129.079694,35.069808
54,129.081522,35.073023
55,129.07907,35.076987
56,129.075023,35.075291
57,129.089512,35.077317
58,129.075138,35.085545
59,129.074231,35.085702
60,129.067539,35.090293
61,129.062551,35.09037
62,129.055028,35.090808
63,129.05666,35.097227
64,129.076657,35.110064
65,129.083584,35.106179
66,129.084089,35.105116
67,129.09431,35.116065
68,129.091547,35.117475
69,129.086974,35.122988
70,129.088882,35.125803
71,129.095193,35.121819
72,129.092523,35.126796
73,129.090849,35.133924
74,129.083884,35.130516
75,129.078679,35.142547
76,129.091321,35.139317
77,129.095448,35.13867
78,129.092078,35.161755
79,129.076834,35.165994
80,129.076501,35.168831
81,129.0723,35.155729
82,129.081674,35.157864
83,129.061212,35.148595
84,129.070614,35.161165
85,129.068969,35.160486
86,129.063455,35.162771
87,129.055586,35.163906
88,129.052322,35.160706
89,129.05273,35.161407
90,129.05186,35.159685
91,129.048819,35.156485
92,129.056119,35.152578
93,129.051366,35.146371
94,129.071572,35.138741
95,129.058037,35.126868
96,129.048583,35.136932
97,129.045965,35.135182
98,129.040321,35.131473
99,129.037781,35.127118
100,129.028639,35.141975
101,129.035993,35.148293
102,129.036474,35.14782
103,129.038881,35.14789
104,129.03726,35.14206
105,129.037904,35.139384
106,129.04759,35.147739
107,129.042071,35.149827
108,129.04044,35.152333
109,129.037261,35.165026
110,129.03588,35.167773
111,129.024653,35.157799
112,129.016223,35.150483
113,129.013897,35.149063
114,129.018309,35.161643
115,129.00596,35.157143
116,129.009636,35.140193
117,129.018658,35.145076
118,129.017485,35.138514
119,129.015367,35.136127
120,129.009788,35.134593
121,129.001012,35.134589
122,129.001493,35.125127
123,129.004908,35.124685
124,129.002202,35.118358
125,129.005265,35.115423
126,129.002894,35.112103
127,129.000334,35.110856
128,129.012292,35.123061
129,129.017427,35.127181
130,129.018319,35.12618
131,129.035316,35.119925
132,129.043293,35.115431
133,129.040249,35.11087
134,129.033958,35.112801
135,129.032015,35.112443
136,129.027798,35.105951
137,129.043501,35.093815
138,129.020981,35.102928
139,129.00144,35.103377
140,129.006975,35.090799
141,128.994807,35.093637
142,128.982738,35.099607
143,128.986292,35.102995
144,128.982378,35.089267
145,128.964094,35.090304
146,128.957984,35.088326
147,128.961883,35.092802
148,128.953216,35.107914
149,128.954566,35.113325
150,128.956825,35.117282
151,128.952815,35.121354
152,128.963849,35.12481
153,128.98027,35.116207
154,128.979803,35.108043
155,128.985565,35.110835
156,128.98486,35.113199
157,128.989768,35.110844
158,128.992995,35.12471
159,128.985962,35.131731
160,128.987651,35.13949
161,128.979846,35.147228
162,128.997661,35.160889
163,128.99598,35.170314
164,128.993114,35.166967
165,128.984458,35.168812
166,128.975722,35.167581
167,128.953554,35.160251
168,128.968366,35.133786
169,128.960888,35.132084
170,128.956293,35.13482
171,128.940174,35.128908
172,128.93839,35.128791
173,128.933826,35.137825
174,128.938603,35.146328
175,128.946928,35.144826
176,128.946397,35.152955
177,128.945238,35.158067
178,128.95243,35.164342
179,128.939593,35.168691
180,128.931689,35.169812
181,128.929616,35.162879
182,128.931956,35.151939
183,128.91877,35.162513
184,128.914732,35.167099
185,128.912424,35.171397
186,128.91095,35.159103
187,128.911114,35.155118
188,128.908788,35.14897
189,128.913415,35.148315
190,128.920131,35.145798
191,128.921192,35.14632
192,128.921301,35.138659
193,128.916746,35.132494
194,128.907338,35.128562
195,128.927068,35.107983
196,128.927936,35.112097
197,128.933246,35.118353
198,128.952043,35.115361
199,128.931693,35.108944
200,128.943945,35.093473
201,128.916834,35.095359
202,128.923273,35.099407
203,128.919419,35.104924
204,128.921894,35.098226
205,128.91624,35.09751
206,128.910787,35.100265
207,128.90682,35.097702
208,128.908705,35.091843
209,128.93391,35.063223
210,128.941383,35.052566
211,128.948906,35.058402
212,128.948674,35.058484
213,128.946645,35.055314
214,128.943281,35.069988
215,128.945328,35.069044
216,128.929395,35.074788
217,128.933832,35.084262
218,128.936765,35.085482
219,128.934828,35.081486
220,128.956293,35.082416
221,128.960349,35.067141
222,128.957583,35.069699
223,128.965809,35.078278
224,128.992486,35.083671
225,128.976732,35.06128
226,128.995352,35.048801
227,128.974824,35.060501
228,128.97007,35.058713
229,128.71117,34.848764
230,128.725856,34.847232
231,128.728443,34.845744
232,128.72385,34.858963
233,128.713769,34.855149
234,128.713129,34.862954
235,128.721436,34.872492
236,128.725835,34.870069
237,128.742482,34.883646
238,128.738668,34.877296
239,128.726348,34.879839
240,128.721052,34.883274
241,128.733706,34.888054
242,128.714742,34.946411
243,128.722513,34.966353
244,128.830089,35.000258
245,128.837426,34.999818
246,128.835015,35.021867
247,128.834706,35.00743
248,128.823256,35.004127
249,128.828817,35.025755
250,128.816335,35.032909
251,128.817739,35.039268
252,128.827437,35.038676
253,128.836571,35.036731
254,128.839189,35.029759
255,128.849706,35.049166
256,128.832678,35.055294
257,128.839426,35.049523
258,128.831948,35.047949
259,128.821592,35.051549
260,128.815884,35.058616
261,128.811044,35.057615
262,128.825159,35.062093
263,128.831621,35.065538
264,128.84081,35.086022
265,128.837796,35.067651
266,128.877873,35.068196
267,128.867057,35.071003
268,128.864911,35.070415
269,128.880639,35.081732
270,128.897001,35.079167
271,128.897493,35.092043
272,128.88136,35.093251
273,128.872667,35.107416
274,128.877618,35.100535
275,128.87681,35.096947
276,128.880374,35.101474
277,128.87514,35.117239
278,128.874371,35.116811
279,128.87437,35.108789
280,128.874286,35.121975
281,128.887148,35.124909
282,128.903272,35.110618
283,128.895706,35.123098
284,128.900108,35.129954
285,128.901549,35.132379
286,128.887731,35.1414
287,128.892397,35.14777
288,128.901835,35.147925
289,128.900885,35.155328
290,128.896914,35.158701
291,128.901461,35.163732
292,128.898042,35.166029
293,128.887935,35.168836
294,128.871021,35.150937
295,128.871451,35.160453
296,128.880222,35.160412
297,128.879532,35.161299
298,128.866203,35.15212
299,128.865692,35.153118
300,128.873003,35.146124
301,128.880365,35.141008
302,128.863658,35.133278
303,128.864935,35.136244
304,128.837764,35.140738
305,128.847392,35.144845
306,128.856935,35.141145
307,128.843116,35.163578
308,128.841032,35.167062
309,128.834441,35.163533
310,128.837466,35.159449
311,128.84028,35.151077
312,128.83861,35.155481
313,128.825204,35.166889
314,128.817099,35.17151
315,128.81833,35.168862
316,128.812911,35.162788
317,128.81478,35.159939
318,128.815263,35.153517
319,128.810246,35.145384
320,128.815742,35.143849
321,128.821535,35.144109
322,128.817168,35.146304
323,128.816893,35.150149
324,128.831378,35.129907
325,128.830545,35.13079
326,128.81713,35.139923
327,128.812697,35.140261
328,128.814483,35.111632
329,128.820038,35.118532
330,128.8206,35.117211
331,128.831583,35.118181
332,128.825174,35.123461
333,128.838087,35.126586
334,128.852561,35.127934
335,128.851903,35.113545
336,128.852936,35.09782
337,128.840155,35.086715
338,128.830632,35.091811
339,128.826076,35.088496
340,128.829126,35.096366
341,128.811772,35.103922
342,128.817291,35.088654
343,128.803916,35.087782
344,128.801197,35.089586
345,128.808694,35.09994
346,128.805803,35.105871
347,128.788208,35.088727
348,128.785312,35.088189
349,128.767409,35.090509
350,128.772917,35.113515
351,128.77842,35.128317
352,128.79658,35.129514
353,128.791499,35.112167
354,128.791827,35.113032
355,128.798301,35.118413
356,128.799657,35.115814
357,128.80515,35.12001
358,128.801223,35.134823
359,128.800115,35.129919
360,128.788907,35.136509
361,128.79645,35.137438
362,128.79662,35.14477
363,128.79049,35.143145
364,128.788276,35.146786
365,128.791217,35.149183
366,128.792694,35.147617
367,128.79611,35.151228
368,128.797948,35.150157
369,128.799637,35.149715
370,128.808319,35.157268
371,128.799356,35.171799
372,128.787648,35.170396
373,128.788253,35.157249
374,128.793453,35.158757
375,128.777603,35.172686
376,128.766643,35.160809
377,128.773681,35.14353
378,128.779208,35.137958
379,128.77663,35.1336
380,128.770845,35.133949
381,128.758782,35.136048
382,128.738688,35.132409
383,128.745571,35.142062
384,128.754562,35.15299
385,128.741516,35.162199
386,128.728609,35.162428
387,128.721449,35.166444
388,128.72865,35.138267
389,128.726269,35.137091
390,128.718766,35.138172
391,128.715468,35.140402
392,128.715972,35.118029
393,128.720073,35.118673
394,128.719721,35.109779
395,128.729641,35.117355
396,128.730498,35.111866
397,128.730745,35.113136
398,128.737173,35.110079
399,128.733852,35.120192
400,128.743952,35.129462
401,128.745141,35.127945
402,128.76131,35.117496
403,128.756403,35.111331
404,128.75522,35.113786
405,128.746594,35.110512
406,128.752074,35.101973
407,128.759907,35.089581
408,128.740582,35.089132
409,128.718573,35.10663
410,128.738968,35.084983
411,128.760591,35.082587
412,128.76866,35.069999
413,128.769452,35.070424
414,128.773397,35.07166
415,128.778364,35.086881
416,128.806961,35.078395
417,128.796551,35.058139
418,128.806786,35.058138
419,128.80783,35.031895
420,128.745229,35.016216
421,128.714481,35.016524
422,128.716236,35.016069
423,128.710013,35.011827
424,128.704225,35.010277
425,128.705686,35.012771
426,128.704583,35.024248
427,128.701549,35.02729
428,128.681791,35.030654
429,128.681056,35.029989
430,128.678956,35.023236
431,128.685199,35.023132
432,128.688303,35.014297
433,128.681195,35.014493
434,128.633228,35.010036
435,128.623541,35.008671
436,128.621114,35.009111
437,128.667358,35.059884
438,128.691047,35.076019
439,128.697583,35.077487
440,128.71079,35.107414
441,128.702668,35.104895
442,128.701191,35.104729
443,128.693566,35.102601
444,128.670676,35.097166
445,128.695616,35.109631
446,128.711556,35.118557
447,128.709721,35.126575
448,128.705137,35.140266
449,128.704229,35.135945
450,128.701733,35.134282
451,128.697052,35.131557
452,128.700447,35.143626
453,128.697137,35.144408
454,128.6957,35.144228
455,128.713875,35.169126
456,128.709156,35.164846
457,128.702114,35.164471
458,128.699153,35.166591
459,128.6983,35.156716
460,128.688527,35.163916
461,128.688677,35.170505
462,128.682574,35.165772
463,128.675582,35.160861
464,128.677594,35.161343
465,128.673147,35.149604
466,128.670448,35.146759
467,128.67074,35.13562
468,128.667362,35.131336
469,128.664902,35.132616
470,128.656518,35.141428
471,128.647346,35.148838
472,128.66668,35.154585
473,128.657578,35.160712
474,128.662977,35.170006
475,128.655027,35.171624
476,128.644938,35.163936
477,128.641156,35.169775
478,128.635733,35.163674
479,128.624385,35.160613
480,128.625786,35.15753
481,128.621194,35.155975
482,128.621035,35.149985
483,128.622183,35.147391
484,128.653885,35.103501
485,128.657947,35.101392
486,128.59937,35.103845
487,128.604724,35.098736
488,128.595137,35.093638
489,128.594908,35.091545
490,128.590814,35.093341
491,128.589112,35.092587
492,128.585603,35.104831
493,128.592231,35.102043
494,128.592603,35.114343
495,128.571856,35.12281
496,128.586555,35.131812
497,128.616266,35.138745
498,128.617063,35.142524
499,128.613958,35.153354
500,128.609558,35.156063
501,128.608887,35.173644
502,128.60427,35.173906
503,128.57995,35.169263
504,128.579058,35.171639
505,128.581183,35.159434
506,128.579734,35.153614
507,128.572717,35.157485
508,128.577177,35.153207
509,128.583868,35.150548
510,128.579614,35.148276
511,128.589432,35.140141
512,128.587337,35.142416
513,128.585751,35.135104
514,128.552551,35.132303
515,128.558109,35.137901
516,128.54995,35.15358
517,128.561199,35.143692
518,128.565262,35.148121
519,128.568525,35.153286
520,128.559119,35.156276
521,128.544137,35.174228
522,128.541597,35.168813
523,128.532819,35.16508
524,128.530465,35.166837
525,128.533681,35.160326
526,128.534314,35.147074
527,128.544571,35.15265
528,128.546574,35.148428
529,128.543369,35.14026
530,128.533143,35.140832
531,128.531472,35.123705
532,128.525665,35.124558
533,128.541411,35.117792
534,128.543081,35.123373
535,128.541248,35.123755
536,128.539644,35.123024
537,128.540828,35.128953
538,128.548453,35.123805
539,128.570034,35.128563
540,128.564177,35.126496
541,128.561847,35.119197
542,128.55999,35.114441
543,128.551832,35.112325
544,128.548974,35.110343
545,128.561181,35.095808
546,128.564507,35.094533
547,128.557534,35.098393
548,128.562606,35.053089
549,128.56102,35.053759
550,128.567145,35.076988
551,128.582756,35.084263
552,128.617214,35.087509
553,128.608933,35.070045
554,128.60568,35.061693
555,128.61195,35.066211
556,128.585257,35.058055
557,128.582695,35.058197
558,128.578646,35.067516
559,128.530434,34.972693
560,128.522496,34.962578
561,128.529945,34.941182
562,128.52874,34.92128
563,128.600063,34.93697
564,128.608939,34.926898
565,128.615296,34.922915
566,128.61112,34.930994
567,128.611872,34.937808
568,128.616369,34.94608
569,128.609003,34.939917
570,128.601801,34.939144
571,128.598987,34.950756
572,128.59838,34.95143
573,128.59579,34.949885
574,128.607492,34.965464
575,128.604048,34.960902
576,128.640986,34.994983
577,128.630834,34.995133
578,128.63915,34.984242
579,128.627383,34.961837
580,128.637488,34.979349
581,128.650796,34.97178
582,128.649743,34.962741
583,128.655559,34.967654
584,128.655541,34.963287
585,128.66274,34.994067
586,128.668779,34.98794
587,128.672529,34.98783
588,128.685729,34.985414
589,128.683493,34.991002
590,128.679716,34.997127
591,128.679208,34.999322
592,128.683902,35.002269
593,128.693997,34.992935
594,128.703358,34.999995
595,128.689195,34.990573
596,128.703658,34.968906
597,128.685389,34.963666
598,128.680265,34.961048
599,128.678495,34.969596
600,128.687489,34.967815
601,128.684479,34.970803
602,128.685611,34.977973
603,128.670269,34.968347
604,128.668279,34.960206
605,128.667932,34.93984
606,128.672257,34.94328
607,128.671678,34.941414
608,128.674913,34.945489
609,128.681437,34.947336
610,128.686,34.942706
611,128.683948,34.945092
612,128.693483,34.958159
613,128.693247,34.950898
614,128.699722,34.956337
615,128.70423,34.955369
616,128.705645,34.950459
617,128.701437,34.938844
618,128.698653,34.943373
619,128.690719,34.941319
620,128.697967,34.927572
621,128.711606,34.937718
622,128.711474,34.93509
623,128.704375,34.932022
624,128.69448,34.920979
625,128.684424,34.918748
626,128.678436,34.93327
627,128.677037,34.933132
628,128.667997,34.934414
629,128.670855,34.921469
630,128.669758,34.919559
631,128.661594,34.918391
632,128.648064,34.929984
633,128.66262,34.93293
634,128.66328,34.947736
635,128.64188,34.95666
636,128.6484,34.944851
637,128.638204,34.959847
638,128.629069,34.957379
639,128.619906,34.950485
640,128.622611,34.938065
641,128.626525,34.929371
642,128.636536,34.937326
643,128.63574,34.934887
644,128.639352,34.926113
645,128.638327,34.922283
646,128.620707,34.907195
